Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/05/2000,00:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,00:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,00:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,00:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,01:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,01:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,01:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,01:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,02:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,02:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,02:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,02:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,03:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,03:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,03:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,03:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,04:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,04:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,04:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,04:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,05:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,05:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,05:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,05:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,06:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,06:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,06:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,06:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,07:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,07:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,07:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,07:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,08:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,08:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,08:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,08:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,09:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,09:28:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,09:43:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,09:58:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,10:13:30,nan,0.0,0.0,0.0,0.0,0.0

01/05/2000,10:28:30,nan,0.0,0.0,0.0,0.0,0.0

