Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/04/2001,00:00:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,00:15:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,00:30:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,00:45:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,01:00:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,01:15:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,01:30:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,01:45:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,02:00:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,02:15:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,02:30:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,02:45:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,03:00:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,03:15:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,03:30:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,03:45:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,04:00:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,04:15:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,04:30:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,04:45:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,05:00:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,05:15:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,05:30:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,05:45:20,nan,0.0,0.0,0.0,6.0,53.2

01/04/2001,06:00:20,nan,0.0,0.0,0.0,5.8,53.2

01/04/2001,06:15:20,nan,0.0,0.0,0.0,5.6,53.2

01/04/2001,06:30:20,nan,0.0,0.0,0.0,5.2,53.2

01/04/2001,06:45:20,nan,0.0,0.0,0.0,4.0,53.2

01/04/2001,07:00:20,nan,0.0,0.0,0.0,2.4,53.2

01/04/2001,07:15:20,nan,0.0,0.0,0.0,1.6,53.2

01/04/2001,07:30:20,nan,0.0,0.0,0.0,0.8,53.2

01/04/2001,07:45:20,nan,0.0,0.0,0.0,0.2,53.2

01/04/2001,08:00:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,08:15:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,08:30:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,08:45:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,09:00:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,09:15:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,09:30:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,09:45:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,10:00:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,10:15:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,10:30:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,10:45:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,11:00:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,11:15:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,11:30:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,11:45:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,12:00:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,12:15:20,nan,0.0,0.0,0.0,0.0,53.2

01/04/2001,12:30:20,nan,0.0,0.0,0.0,0.0,53.2

