Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/11/1999,01:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,01:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,01:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,01:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,02:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,02:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,02:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,02:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,03:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,03:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,03:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,03:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,04:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,04:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,04:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,04:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,05:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,05:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,05:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,05:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,06:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,06:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,06:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,06:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,07:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,07:22:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,07:37:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,07:52:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,08:07:20,HBV,0.0,0.0,0.0,0.0,0.0

01/11/1999,08:22:20,HBV,0.0,0.0,0.0,0.0,0.0

