Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/12/2013,00:00:00,HBV,0.0,0.0,0.0,7.0,7.0

01/12/2013,00:15:00,HBV,0.0,0.0,0.0,7.0,7.0

01/12/2013,00:30:00,HBV,0.2,0.2,0.2,7.2,7.2

01/12/2013,00:45:00,HBV,0.0,0.2,0.2,7.2,7.2

01/12/2013,01:00:00,HBV,0.0,0.2,0.2,7.2,7.2

01/12/2013,01:15:00,HBV,0.0,0.2,0.2,7.2,7.2

01/12/2013,01:30:00,HBV,0.0,0.0,0.2,7.2,7.2

01/12/2013,01:45:00,HBV,0.0,0.0,0.2,7.2,7.2

01/12/2013,02:00:00,HBV,0.0,0.0,0.2,7.2,7.2

01/12/2013,02:15:00,HBV,0.0,0.0,0.2,7.2,7.2

01/12/2013,02:30:00,HBV,0.0,0.0,0.2,7.2,7.2

01/12/2013,02:45:00,HBV,0.0,0.0,0.2,4.2,7.2

01/12/2013,03:00:00,HBV,0.0,0.0,0.2,2.4,7.2

01/12/2013,03:15:00,HBV,0.0,0.0,0.2,2.4,7.2

01/12/2013,03:30:00,HBV,0.0,0.0,0.2,2.4,7.2

01/12/2013,03:45:00,HBV,0.0,0.0,0.2,2.4,7.2

01/12/2013,04:00:00,HBV,0.0,0.0,0.2,2.2,7.2

01/12/2013,04:15:00,HBV,0.0,0.0,0.2,2.2,7.2

01/12/2013,04:30:00,HBV,0.0,0.0,0.0,1.6,7.2

01/12/2013,04:45:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,05:00:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,05:15:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,05:30:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,05:45:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,06:00:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,06:15:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,06:30:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,06:45:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,07:00:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,07:15:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,07:30:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,07:45:00,HBV,0.0,0.0,0.0,1.4,7.2

01/12/2013,08:00:00,HBV,0.6,0.6,0.6,2.0,7.8

01/12/2013,08:15:00,HBV,0.2,0.8,0.8,2.2,8.0

01/12/2013,08:30:00,HBV,0.0,0.8,0.8,2.2,8.0

01/12/2013,08:45:00,HBV,0.2,1.0,1.0,2.4,8.2

01/12/2013,09:00:00,HBV,0.0,0.4,1.0,2.4,8.2

01/12/2013,09:15:00,HBV,0.2,0.4,1.2,2.6,8.4

01/12/2013,09:30:00,HBV,0.2,0.6,1.4,2.8,8.6

01/12/2013,09:45:00,HBV,0.6,1.0,2.0,3.4,9.2

01/12/2013,10:00:00,HBV,0.2,1.2,2.2,3.6,9.4

01/12/2013,10:15:00,HBV,0.0,1.0,2.2,3.6,9.4

01/12/2013,10:30:00,HBV,0.2,1.0,2.4,3.8,9.6

01/12/2013,10:45:00,HBV,0.2,0.6,2.6,4.0,9.8

01/12/2013,11:00:00,HBV,0.0,0.4,2.6,4.0,9.8

