Relatório Pluviométrico da Estação: Jacarepagua/Cidade de Deus

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/02/2001  18:26:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  18:41:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  18:56:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  19:11:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  19:26:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  19:41:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  19:56:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  20:11:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  20:26:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  20:41:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  20:56:40  HBV      0.0    0.0    0.0   37.0   37.0
01/02/2001  21:11:40  HBV      0.0    0.0    0.0   32.2   37.0
01/02/2001  21:26:40  HBV      0.0    0.0    0.0   28.4   37.0
01/02/2001  21:41:40  HBV      0.0    0.0    0.0   23.8   37.0
01/02/2001  21:56:40  HBV      0.0    0.0    0.0   14.0   37.0
01/02/2001  22:11:40  HBV      0.0    0.0    0.0    6.6   37.0
01/02/2001  22:26:40  HBV      0.0    0.0    0.0    5.4   37.0
01/02/2001  22:41:40  HBV      0.0    0.0    0.0    4.6   37.0
01/02/2001  22:56:40  HBV      0.0    0.0    0.0    4.2   37.0
01/02/2001  23:11:40  HBV      0.0    0.0    0.0    3.8   37.0
01/02/2001  23:26:40  HBV      0.0    0.0    0.0    3.2   37.0
01/02/2001  23:41:40  HBV      0.0    0.0    0.0    2.6   37.0
01/02/2001  23:56:40  HBV      0.0    0.0    0.0    2.0   37.0
02/02/2001  00:11:40  HBV      0.0    0.0    0.0    1.4   37.0
02/02/2001  00:26:40  HBV      0.0    0.0    0.0    0.8   37.0
02/02/2001  00:41:40  HBV      0.0    0.0    0.0    0.6   37.0
02/02/2001  00:56:40  HBV      0.0    0.0    0.0    0.4   37.0
02/02/2001  01:11:40  HBV      0.0    0.0    0.0    0.2   37.0
02/02/2001  01:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  01:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  01:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  02:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  02:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  02:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  02:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  03:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  03:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  03:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  03:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  04:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  04:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  04:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  04:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  05:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  05:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  05:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  05:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  06:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  06:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  06:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  06:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  07:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  07:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  07:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  07:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  08:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  08:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  08:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  08:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  09:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  09:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  09:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  09:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  10:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  10:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  10:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  10:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  11:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  11:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  11:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  11:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  12:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  12:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  12:41:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  12:56:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  13:11:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  13:26:40  HBV      0.0    0.0    0.0    0.0   37.0
02/02/2001  13:41:40  HBV      0.0    0.0    0.0    0.0   37.0
