Relatório Pluviométrico da Estação: Recreio dos Bandeirantes

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
02/12/2007  17:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  17:58:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  18:13:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  18:28:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  18:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  18:58:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  19:13:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  19:28:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  19:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  19:58:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  20:13:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  20:28:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  20:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  20:58:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  21:13:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  21:28:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  21:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  21:58:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  22:13:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  22:28:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  22:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  22:58:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  23:13:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  23:28:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  23:43:30  HBV      0.0    0.0    0.0    0.0    0.0
02/12/2007  23:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  00:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  00:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  00:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  00:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  01:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  01:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  01:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  01:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  02:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  02:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  02:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  02:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  03:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  03:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  03:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  03:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  04:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  04:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  04:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  04:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  05:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  05:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  05:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  05:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  06:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  06:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  06:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  06:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  07:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  07:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  07:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  07:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  08:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  08:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  08:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  08:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  09:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  09:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  09:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  09:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  10:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  10:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  10:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  10:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  11:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  11:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  11:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  11:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  12:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  12:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  12:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  12:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  13:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  13:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  13:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  13:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  14:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  14:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  14:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  14:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  15:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  15:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  15:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  15:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  16:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  16:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  16:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  16:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  17:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  17:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  17:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  17:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  18:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  18:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  18:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  18:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  19:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  19:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  19:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  19:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  20:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  20:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  20:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  20:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  21:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  21:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  21:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  21:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  22:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  22:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  22:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  22:58:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  23:13:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  23:28:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  23:43:30  HBV      0.0    0.0    0.0    0.0    0.0
03/12/2007  23:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  00:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  00:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  00:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  00:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  01:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  01:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  01:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  01:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  02:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  02:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  02:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  02:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  03:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  03:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  03:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  03:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  04:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  04:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  04:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  04:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  05:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  05:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  05:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  05:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  06:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  06:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  06:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  06:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  07:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  07:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  07:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  07:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  08:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  08:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  08:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  08:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  09:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  09:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  09:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  09:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  10:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  10:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  10:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  10:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  11:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  11:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  11:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  11:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  12:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  12:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  12:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  12:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  13:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  13:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  13:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  13:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  14:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  14:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  14:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  14:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  15:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  15:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  15:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  15:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  16:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  16:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  16:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  16:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  17:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  17:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  17:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  17:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  18:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  18:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  18:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  18:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  19:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  19:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  19:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  19:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  20:13:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  20:28:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  20:43:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  20:58:30  HBV      0.0    0.0    0.0    0.0    0.0
04/12/2007  21:13:30  HBV      0.0    0.0    0.0    0.0    0.0
