Relatório Pluviométrico da Estação: Santa Teresa

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/12/2018  00:00:00  HBV      0.0    0.0    0.0    0.0    1.8
01/12/2018  00:15:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  00:30:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  00:45:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  01:00:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  01:15:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  01:30:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  01:45:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  02:00:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  02:15:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  02:30:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  02:45:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  03:00:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  03:15:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  03:30:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  03:45:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  04:00:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  04:15:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  04:30:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  04:45:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  05:00:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  05:15:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  05:30:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  05:45:00  HBV      0.0    0.0    0.0    0.0    1.4
01/12/2018  06:00:00  HBV      0.0    0.0    0.0    0.0    1.4
