Relatório Pluviométrico da Estação: Barra/Rio Centro

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
01/02/2007  00:12:00  HBV      0.0    0.0    0.0    0.2   13.0
01/02/2007  00:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  00:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  00:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  01:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  01:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  01:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  01:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  02:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  02:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  02:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  02:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  03:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  03:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  03:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  03:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  04:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  04:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  04:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  04:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  05:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  05:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  05:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  05:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  06:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  06:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  06:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  06:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  07:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  07:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  07:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  07:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  08:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  08:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  08:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  08:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  09:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  09:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  09:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  09:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  10:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  10:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  10:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  10:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  11:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  11:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  11:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  11:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  12:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  12:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  12:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  12:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  13:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  13:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  13:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  13:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  14:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  14:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  14:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  14:57:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  15:12:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  15:27:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  15:42:00  HBV      0.0    0.0    0.0    0.0   13.0
01/02/2007  15:57:00  HBV      0.0    0.0    0.0    0.0   11.0
01/02/2007  16:12:00  HBV      0.0    0.0    0.0    0.0    6.2
01/02/2007  16:27:00  HBV      0.0    0.0    0.0    0.0    5.8
01/02/2007  16:42:00  HBV      0.0    0.0    0.0    0.0    5.8
